nan,nan,nan,nan,nan,-10.112060,-5.476929,5.131997,13.125157,12.253606,nan,nan,-10.054230,nan,-7.149094,0.993800,9.407640,14.927343,16.332167,14.875126,15.432640,21.801849,28.382154,24.752588,nan,nan,-6.881591,-4.934916,-3.516823,nan,nan,nan,nan
9.610276,nan,nan,nan,nan,nan,nan,3.781240,11.756444,12.070431,5.813374,nan,-8.107569,-10.289270,-7.276030,-0.071357,7.886195,13.551504,15.465214,14.411772,14.843394,20.619634,26.908621,23.911279,10.779602,nan,nan,nan,nan,nan,nan,nan,nan
2.119264,3.291761,5.373126,5.009464,nan,nan,nan,0.490218,8.004576,10.920177,8.302680,nan,nan,nan,-7.735234,-3.007356,3.575066,9.543622,13.091192,13.777146,14.521781,18.904745,24.142220,22.461220,nan,nan,-7.149522,nan,nan,nan,nan,nan,nan
-7.230242,-4.219937,2.794180,8.348389,7.334234,nan,nan,nan,nan,7.739514,8.507242,5.132787,nan,nan,nan,nan,-2.850013,2.983707,9.114339,13.671478,16.545634,19.720291,22.992727,22.154956,14.240475,nan,nan,nan,nan,nan,nan,-5.783873,nan
-14.739554,-10.461501,0.407162,11.594991,15.314752,nan,nan,nan,nan,2.606163,4.379772,2.659791,-1.571418,nan,nan,-10.491689,-10.018612,-5.943436,2.487209,12.653542,20.191672,23.564501,24.553572,23.531010,17.668025,6.070355,-6.593625,nan,nan,nan,nan,nan,-7.909747
nan,-14.002233,nan,13.625879,22.806407,20.413765,10.344384,1.228235,-2.457851,-2.560559,-2.651513,-3.995502,-5.458181,-6.250737,-7.590468,-11.106852,-15.593795,-15.931922,-7.432906,8.141163,22.221112,28.106528,27.743474,25.858146,21.085864,9.640439,-5.466320,-15.880288,nan,-12.802174,nan,nan,nan
-19.949712,nan,nan,12.086422,27.042574,30.476129,21.721893,8.921577,-0.436300,-5.671825,-9.358794,-11.643677,-10.431891,-6.253081,-3.848482,-7.906175,-17.402533,-24.176026,-18.831351,-0.348215,20.309806,30.880971,30.971908,28.060756,23.392776,12.261503,-3.835118,-15.789663,-17.611049,-13.146028,nan,nan,nan
-22.204377,-20.313230,nan,5.257295,25.726606,36.764848,31.898959,17.425551,3.612838,-6.111991,-13.580284,nan,-15.819643,-7.436618,-0.436764,-2.916887,-15.219332,-27.832473,nan,-10.097949,14.903806,30.920110,33.196007,29.429083,23.991918,13.447660,-2.011464,-14.396416,-17.320266,nan,-11.956811,nan,nan
-26.315554,-26.091473,-21.166565,-4.849488,19.975990,38.579464,38.975168,24.778070,8.378462,-4.191252,-14.669190,nan,-21.921507,-11.957841,-0.971943,0.253238,-10.825947,-25.742021,-30.694479,-17.246497,8.035438,28.181358,33.776630,30.004049,23.655576,14.152074,0.670769,-11.609291,-16.783449,-15.880317,-15.282395,nan,nan
-30.533356,-31.189392,-28.235193,-12.953356,13.992897,37.662357,42.853618,30.454990,13.517470,-0.044412,-12.309912,nan,nan,-19.796705,-6.805955,-0.671830,-6.391855,-18.727422,-26.298763,nan,1.646990,22.668214,31.855568,29.929189,23.918304,16.259017,5.617888,nan,-14.949471,-18.246490,-19.821634,nan,nan
-33.057502,-33.416780,-30.087459,-15.192435,10.993070,35.253940,42.961988,33.391597,18.340740,6.030425,-6.279733,-21.073433,-31.149046,nan,-16.293672,-5.408282,-3.079713,-8.686499,-15.685310,-15.113101,-2.849394,14.671548,26.449582,28.588032,25.424163,20.789197,13.371703,1.831361,-10.351078,-18.678059,-23.395476,-26.833960,nan
-34.859533,-33.957640,-28.148780,-12.657010,10.537538,30.823142,37.757582,31.315241,20.919231,12.943385,3.080344,-13.515062,-30.204311,-35.315263,-26.605479,-12.254225,-1.300482,1.866797,-1.844656,-6.431602,-4.564366,5.329645,17.240974,24.731412,27.264336,27.134481,22.995816,12.115136,-3.012391,-16.075382,-24.404339,-29.303882,-31.123181
-38.569440,-35.941954,-26.430309,-9.137387,10.821624,24.682519,27.730627,23.352320,19.468608,19.040633,14.445477,-2.198098,-25.065538,nan,-35.585973,-19.667454,-1.559076,9.958735,11.054467,4.031001,-3.553186,-3.791231,4.919160,17.307328,27.691025,33.695973,32.889717,22.708658,5.519194,-11.413353,-23.217885,nan,nan
-44.437891,-40.003495,-26.389248,-6.128944,12.291943,20.208510,17.418269,12.374743,14.191546,22.716367,25.365842,10.293167,-17.392615,nan,nan,-26.842902,-4.591034,12.988808,19.190346,12.922140,-0.922252,-11.529884,-9.084143,6.197510,25.093486,38.426856,41.125722,31.735338,13.327521,-6.524629,-21.353010,-29.625060,-32.223249
-49.484619,-43.386006,-25.933425,-2.167956,16.921256,21.328274,12.440256,3.334635,7.077589,22.664672,32.611272,20.734442,-8.880517,nan,nan,-33.434912,-10.755881,10.039140,20.863301,17.901243,1.701577,-17.458067,nan,-7.448977,18.643549,39.090736,45.246013,37.109776,18.677267,-2.979898,-20.344677,-30.128471,-33.077812
-51.656876,-44.312764,-23.981038,2.911349,24.234999,28.150390,14.766682,-0.506476,0.263449,18.162275,33.398901,26.614221,-0.269328,-29.374289,-44.229283,-38.878727,-19.217985,2.634298,17.290775,18.632117,3.110104,-21.513114,nan,-21.532600,8.524871,34.114521,43.394603,37.573502,20.862208,-1.294684,-20.953841,-32.664152,-36.230854
-52.588076,-44.794575,-23.221927,5.840140,30.347941,36.725115,22.079415,1.218991,-4.538472,10.048801,27.222578,27.220189,8.345245,-17.873157,-38.067044,-41.673825,-27.604495,-6.008860,11.473180,16.479053,3.175773,-23.366654,nan,nan,-3.617549,24.178610,36.524895,34.730881,21.668847,0.143803,-21.964014,-36.582339,-41.330850
-54.703063,-47.496341,-26.688603,3.399619,31.694465,43.126097,31.267384,7.826927,-5.460277,1.279066,16.557247,23.585163,16.345040,-3.047758,-26.775331,-40.028443,-33.218611,-13.215414,5.761228,13.150302,2.793981,-22.128982,-42.957279,-39.740532,-14.481274,12.586042,28.312495,32.455286,24.689677,4.625758,-20.152382,-38.658059,-45.158879
nan,-51.798227,-33.656012,-4.025385,27.752794,45.748276,40.324516,18.376792,-1.168218,-4.742846,5.015421,17.020663,21.636845,11.352053,-12.625208,-33.545076,-34.538209,-17.908997,1.042848,9.982470,3.249671,-17.111788,-36.910626,-38.696934,-20.766206,2.888759,21.681787,32.876859,31.665829,14.053385,-13.087800,-35.899481,-44.478116
-58.221199,-54.489578,-40.464216,-13.458387,19.806525,44.044631,47.374461,30.825538,7.786938,-6.250026,-4.598285,8.709501,22.134816,20.986183,0.538025,-23.816252,-31.506184,-19.716364,-2.121077,8.044130,5.266714,-9.123009,-25.586262,-31.154719,-21.807930,-4.117504,15.826259,33.610394,39.860260,26.244204,-2.194677,-29.140288,-39.894854
-54.863497,nan,nan,-22.202373,9.244280,37.811416,50.700131,42.573419,19.470873,-3.093942,-10.287526,0.755150,18.296710,24.014547,9.370278,-13.963087,-25.800321,-19.003530,-3.527652,7.451883,8.010817,-0.760736,-12.903176,-20.653898,-19.812191,-10.379386,7.469082,29.873157,43.930382,36.148522,8.116090,-22.229217,-35.045211
nan,nan,-43.794234,-28.977633,-2.446659,28.062332,50.126779,52.175797,32.283201,4.492680,-10.365251,-3.854343,13.137836,21.752046,12.269242,-7.663943,-20.884837,-17.758877,-4.279732,6.911126,9.440477,5.042484,-2.461810,-10.754304,-17.567318,-17.878069,-5.178038,19.379352,40.806480,40.354526,14.960637,-17.128348,-31.455663
nan,nan,nan,-33.772164,-13.993855,16.281418,46.105384,58.649240,44.563942,15.372371,-4.700591,-3.467624,9.569041,16.969757,9.877007,-6.867827,-19.675916,-18.201620,-5.736984,5.290811,8.344509,6.950406,4.091418,-3.454714,-16.752252,-26.864892,-20.566192,4.446210,32.152628,39.696890,19.478356,-11.529431,-26.174786
nan,nan,nan,nan,nan,3.020823,38.147118,60.202431,53.735107,26.795510,4.352348,0.789037,8.469120,12.262538,4.976717,-10.036284,-22.014833,-20.724539,-8.067525,2.975096,5.567125,5.716695,6.737837,0.408131,-18.023277,-36.411793,-35.695286,-10.916218,21.387538,36.441826,23.607529,-2.851829,-16.153131
nan,nan,nan,-40.511583,nan,-10.930589,26.550190,56.316338,58.417112,36.446790,13.846646,6.353497,8.903690,8.973413,0.708839,-13.657458,-25.378821,-24.113584,-10.574683,1.277946,3.358040,3.556417,6.584254,1.099691,-20.699062,-44.662258,-47.903593,-24.175880,10.147720,31.037194,26.875169,8.104124,-2.199278
-20.075546,nan,-32.605736,-42.335054,-42.659363,-23.248556,14.204579,49.711740,60.283419,44.361191,22.357125,11.191245,9.289166,6.917249,-1.360276,-15.087237,-27.302031,-26.914607,-12.575493,1.229776,3.823394,2.980885,5.551856,0.270822,-22.427810,-48.738861,-54.977113,-34.358615,-1.432018,23.078895,28.097525,19.284572,13.250901
-15.090991,nan,nan,-41.971578,-46.879704,-32.008069,4.137945,43.630828,61.491959,51.012155,29.053519,13.897206,8.273332,5.352992,-0.987400,-13.158111,-26.148357,-27.705956,-13.400915,2.979094,7.435036,5.171707,5.226415,-0.213191,-20.989277,-46.599632,-55.852441,-41.225979,-12.995503,13.378903,27.886246,30.526585,29.603845
nan,nan,nan,nan,nan,-37.729543,-3.271078,38.875885,62.294282,55.787089,32.986288,13.780893,5.571233,4.235061,1.957731,-7.331097,-20.722105,-24.993656,-12.338546,5.709836,12.542071,9.112695,5.712466,0.018860,-16.699377,-39.345742,-51.717466,-45.093992,-23.496454,3.893069,28.159342,43.184094,47.906148
nan,nan,nan,nan,nan,nan,-8.891472,35.242128,62.787070,58.924080,34.736786,11.833580,2.105248,3.754087,6.927518,1.842192,-10.944900,-18.285985,-9.524196,7.732594,16.385129,12.638353,6.142786,0.089340,-11.912637,-30.356588,-45.107821,-46.403585,-31.612942,-3.558364,30.226767,57.854542,68.455562
nan,nan,nan,nan,nan,nan,-12.790460,33.189505,64.005346,62.003607,36.325689,10.046577,-1.135147,3.127385,11.700715,11.763499,0.857299,-9.654060,-7.018473,6.734962,16.517891,13.925222,5.689915,-0.865347,-8.795529,-22.728963,nan,-45.868606,-36.999792,-8.825496,33.164623,72.434842,88.639878
nan,nan,nan,nan,nan,nan,-15.009396,32.633386,66.034396,65.495011,38.652135,9.384790,-3.894609,1.302885,13.977781,19.294761,11.074420,-2.548277,-7.202432,1.615688,12.350429,12.364997,nan,-3.089597,-8.119335,-18.003402,nan,nan,nan,-13.253815,34.618970,83.168088,104.003432
nan,nan,nan,-32.245987,nan,nan,nan,32.603843,67.712870,68.266741,40.853220,9.488477,-5.930434,-1.129798,13.890722,23.253828,17.403772,1.266704,-9.563668,-5.013372,6.605852,9.413660,nan,nan,-9.031736,-16.040834,nan,nan,nan,-17.160514,33.978140,88.379787,112.234849
4.405352,0.321615,nan,nan,nan,nan,nan,32.580797,68.291874,69.278205,41.736004,9.625595,-6.709712,-2.278610,13.479458,24.378698,19.468874,2.328181,-10.960507,-8.097067,3.907169,7.918211,0.523463,-6.946048,-9.679550,-15.632951,-29.746142,nan,nan,nan,33.279651,89.661453,114.559493
